type,start_ms,duration_ms
ban,1748482755359,965
ban,1748482770325,987
ban,1748482785304,977
ban,1748482800347,1024
ban,1748482815541,1004
ban,1748482830574,1017
ban,1748482845699,1049
ban,1748482860845,1030
ban,1748482875922,1037
ban,1748482891088,1075
ban,1748482906266,1068
ban,1748482921429,1060
ban,1748482936422,1113
ban,1748482951623,1085
ban,1748482966892,1079
ban,1748482982081,1133
ban,1748482997291,1122
ban,1748483012434,1122
ban,1748483027755,1164
ban,1748483043088,1147
ban,1748483058369,1157
ban,1748483073571,1179
ban,1748483088830,1165
ban,1748483103985,1178
ban,1748483119371,1207
ban,1748483134746,1200
ban,1748483150105,1198
ban,1748483165370,1239
ban,1748483180646,1223
ban,1748483195900,1228
ban,1748483211187,1261
ban,1748483226497,1248
ban,1748483241802,1267
ban,1748483257284,1283
ban,1748483272727,1284
ban,1748483288431,1297
ban,1748483303820,1303
ban,1748483319261,1294
ban,1748483334747,1310
ban,1748483350066,1316
ban,1748483365572,1331
ban,1748483381265,1337
ban,1748483396856,1344
ban,1748483412291,1355
ban,1748483427754,1366
ban,1748483443445,1369
ban,1748483458766,1380
ban,1748483474340,1388
ban,1748483490597,1400
ban,1748483506822,1416
ban,1748483522379,1412
ban,1748483537872,1425
ban,1748483553471,1432
ban,1748483568891,1442
ban,1748483584426,1469
ban,1748483600051,1457
ban,1748483615619,1493
ban,1748483631173,1475
ban,1748483646739,1494
ban,1748483662404,1490
ban,1748483678018,1515
ban,1748483693713,1513
ban,1748483709383,1531
ban,1748483725073,1528
ban,1748483740619,1542
ban,1748483756222,1542
ban,1748483771843,1558
ban,1748483787514,1573
ban,1748483803193,1571
ban,1748483818891,1574
ban,1748483834476,1591
ban,1748483850078,1598
ban,1748483865677,1607
ban,1748483881239,1622
ban,1748483897018,1645
ban,1748483912701,1635
ban,1748483928473,1644
ban,1748483944284,1648
ban,1748483960026,1666
ban,1748483975787,1666
ban,1748483991558,1685
ban,1748484007299,1686
ban,1748484022877,1702
ban,1748484038586,1707
ban,1748484054264,1713
ban,1748484069936,1726
ban,1748484085944,1737
ban,1748484101818,1758
ban,1748484117638,1751
ban,1748484133461,1787
ban,1748484149294,1778
ban,1748484165194,1780
ban,1748484181184,1796
ban,1748484197181,1792
ban,1748484213212,1806
ban,1748484229185,1811
ban,1748484245029,1842
ban,1748484260813,1833
ban,1748484276592,1844
ban,1748484292606,1845
rep,1748481269376,74
rep,1748481283798,85
rep,1748481298149,90
rep,1748481312612,101
rep,1748481327017,108
rep,1748481341429,118
rep,1748481355892,125
rep,1748481370385,140
rep,1748481384793,152
rep,1748481399216,151
rep,1748481413694,163
rep,1748481428198,174
rep,1748481442763,181
rep,1748481457206,190
rep,1748481471759,195
rep,1748481486354,222
rep,1748481500930,216
rep,1748481515530,231
rep,1748481530091,236
rep,1748481544676,242
rep,1748481559347,253
rep,1748481574225,266
rep,1748481588840,276
rep,1748481603435,278
rep,1748481617950,289
rep,1748481632528,300
rep,1748481647207,310
rep,1748481661873,320
rep,1748481676562,325
rep,1748481691147,340
rep,1748481705828,343
rep,1748481720551,364
rep,1748481735334,382
rep,1748481750092,388
rep,1748481764866,375
rep,1748481779542,385
rep,1748481794309,393
rep,1748481808972,406
rep,1748481823715,412
rep,1748481838464,422
rep,1748481853239,436
rep,1748481868011,451
rep,1748481882948,448
rep,1748481897682,474
rep,1748481912480,482
rep,1748481927328,498
rep,1748481942220,492
rep,1748481957090,508
rep,1748481971981,513
rep,1748481986842,521
rep,1748482001706,519
rep,1748482016574,546
rep,1748482031442,548
rep,1748482046242,572
rep,1748482061169,565
rep,1748482076152,576
rep,1748482091183,577
rep,1748482106120,603
rep,1748482121113,615
rep,1748482136075,592
rep,1748482150937,604
rep,1748482165821,626
rep,1748482180858,629
rep,1748482195768,631
rep,1748482210695,640
rep,1748482225732,675
rep,1748482240729,662
rep,1748482255727,692
rep,1748482270696,700
rep,1748482285602,707
rep,1748482300576,709
rep,1748482315786,721
rep,1748482330816,724
rep,1748482345824,729
rep,1748482360800,707
rep,1748482375799,766
rep,1748482390905,752
rep,1748482405988,770
rep,1748482421002,774
rep,1748482436032,781
rep,1748482451367,793
rep,1748482466487,801
rep,1748482481598,821
rep,1748482496697,818
rep,1748482511833,835
rep,1748482527000,837
rep,1748482542165,858
rep,1748482557353,856
rep,1748482572548,863
rep,1748482587855,876
rep,1748482603075,881
rep,1748482618260,907
rep,1748482633522,901
rep,1748482648992,908
rep,1748482664202,917
rep,1748482679495,1088
rep,1748482694905,938
rep,1748482710144,945
rep,1748482725422,951
rep,1748482740678,971
