type,start_ms,duration_ms
proof_gen,1748534606423,1615
proof_gen,1748534617340,1637
proof_gen,1748534628280,1637
proof_gen,1748534639175,1623
proof_gen,1748534650133,1613
proof_gen,1748534660998,1602
proof_gen,1748534671831,1608
proof_gen,1748534682741,1627
proof_gen,1748534693719,1639
proof_gen,1748534704724,1647
proof_verify,1748534608058,130
proof_verify,1748534618997,115
proof_verify,1748534629938,126
proof_verify,1748534640821,129
proof_verify,1748534651766,131
proof_verify,1748534662620,133
proof_verify,1748534673461,132
proof_verify,1748534684389,113
proof_verify,1748534695379,128
proof_verify,1748534706392,121
latency,1748534608040,250
latency,1748534618978,232
latency,1748534629918,246
latency,1748534640800,257
latency,1748534651747,255
latency,1748534662601,251
latency,1748534673441,250
latency,1748534684370,229
latency,1748534695360,250
latency,1748534706373,240
