type,start_ms,duration_ms
rep,1748654203913,36
rep,1748654218490,36
rep,1748654233058,33
rep,1748654247658,32
rep,1748654262398,27
rep,1748654277186,38
rep,1748654291909,31
rep,1748654306603,34
rep,1748654321271,35
rep,1748654335938,28
rep,1748654350706,30
rep,1748654365556,33
rep,1748654380325,34
rep,1748654395086,33
rep,1748654409910,33
rep,1748654424778,33
rep,1748654439626,37
rep,1748654454499,32
rep,1748654469446,34
rep,1748654484175,33
rep,1748654499049,34
rep,1748654513953,30
rep,1748654528888,29
rep,1748654543720,32
rep,1748654558637,29
rep,1748654573530,35
rep,1748654588438,33
rep,1748654603441,29
rep,1748654618436,32
rep,1748654633321,32
rep,1748654648232,32
rep,1748654663165,31
rep,1748654678108,28
rep,1748654693005,33
rep,1748654708036,38
rep,1748654723066,31
rep,1748654738177,33
rep,1748654753255,32
rep,1748654768180,31
rep,1748654783257,28
rep,1748654798383,28
rep,1748654813397,33
rep,1748654828265,33
rep,1748654843219,30
rep,1748654858352,28
rep,1748654873487,31
rep,1748654888522,30
rep,1748654903544,30
rep,1748654918658,34
rep,1748654933896,27
rep,1748654949175,27
rep,1748654964419,33
rep,1748654979459,30
rep,1748654994482,32
rep,1748655009580,31
rep,1748655024718,29
rep,1748655039903,27
rep,1748655055068,27
rep,1748655070347,29
rep,1748655085545,32
rep,1748655100766,26
rep,1748655116070,29
rep,1748655131239,26
rep,1748655146457,29
rep,1748655161794,29
rep,1748655176938,31
rep,1748655192179,29
rep,1748655207525,36
rep,1748655222834,12
rep,1748655238123,32
rep,1748655253473,32
rep,1748655268777,33
rep,1748655284102,26
rep,1748655299466,29
rep,1748655314842,31
rep,1748655330270,31
rep,1748655345762,28
rep,1748655361316,27
rep,1748655376728,32
rep,1748655391978,32
rep,1748655407358,30
rep,1748655422710,28
rep,1748655437993,32
rep,1748655453370,31
rep,1748655468767,32
rep,1748655484220,30
rep,1748655499697,32
rep,1748655515177,31
rep,1748655530717,30
rep,1748655546286,26
rep,1748655561894,32
rep,1748655577453,30
rep,1748655593003,30
rep,1748655608584,30
rep,1748655624165,30
rep,1748655639760,31
rep,1748655655391,32
rep,1748655670928,32
rep,1748655686531,33
rep,1748655702160,30
