type,start_ms,duration_ms
rep,1748654203909,68
rep,1748654218486,94
rep,1748654233053,83
rep,1748654247654,101
rep,1748654262383,108
rep,1748654277183,118
rep,1748654291904,117
rep,1748654306597,141
rep,1748654321265,155
rep,1748654335931,148
rep,1748654350701,156
rep,1748654365548,178
rep,1748654380318,185
rep,1748654395079,196
rep,1748654409904,205
rep,1748654424771,215
rep,1748654439618,223
rep,1748654454491,231
rep,1748654469439,242
rep,1748654484169,249
rep,1748654499041,261
rep,1748654513947,261
rep,1748654528882,258
rep,1748654543714,280
rep,1748654558632,276
rep,1748654573523,303
rep,1748654588430,313
rep,1748654603434,305
rep,1748654618427,329
rep,1748654633312,337
rep,1748654648223,347
rep,1748654663156,354
rep,1748654678101,359
rep,1748654692997,374
rep,1748654708027,383
rep,1748654723058,380
rep,1748654738169,400
rep,1748654753245,407
rep,1748654768171,415
rep,1748654783248,418
rep,1748654798375,417
rep,1748654813389,442
rep,1748654828257,446
rep,1748654843212,453
rep,1748654858342,468
rep,1748654873477,481
rep,1748654888514,469
rep,1748654903535,495
rep,1748654918648,510
rep,1748654933887,498
rep,1748654949166,520
rep,1748654964410,523
rep,1748654979448,536
rep,1748654994471,545
rep,1748655009571,556
rep,1748655024709,562
rep,1748655039894,556
rep,1748655055059,565
rep,1748655070339,580
rep,1748655085533,606
rep,1748655100756,590
rep,1748655116062,606
rep,1748655131230,621
rep,1748655146445,631
rep,1748655161782,636
rep,1748655176927,653
rep,1748655192169,659
rep,1748655207513,677
rep,1748655222828,646
rep,1748655238111,690
rep,1748655253463,703
rep,1748655268768,705
rep,1748655284089,718
rep,1748655299455,719
rep,1748655314831,729
rep,1748655330258,750
rep,1748655345752,745
rep,1748655361305,746
rep,1748655376716,770
rep,1748655391965,784
rep,1748655407348,782
rep,1748655422698,780
rep,1748655437980,807
rep,1748655453357,810
rep,1748655468753,825
rep,1748655484208,826
rep,1748655499684,839
rep,1748655515163,849
rep,1748655530705,855
rep,1748655546272,858
rep,1748655561881,874
rep,1748655577438,882
rep,1748655592989,890
rep,1748655608572,902
rep,1748655624151,912
rep,1748655639745,917
rep,1748655655378,926
rep,1748655670915,936
rep,1748655686517,945
rep,1748655702146,950
