type,start_ms,duration_ms
ban,1748625996096,56
ban,1748626006786,60
ban,1748626017513,91
ban,1748626028324,94
ban,1748626039155,92
ban,1748626049910,109
ban,1748626060605,110
ban,1748626071357,119
ban,1748626082090,125
ban,1748626092787,135
ban,1748626103522,150
ban,1748626114308,163
ban,1748626125108,166
ban,1748626135943,173
ban,1748626146800,191
ban,1748626157612,190
ban,1748626168400,216
ban,1748626179180,213
ban,1748626190060,229
ban,1748626200912,227
ban,1748626211760,244
ban,1748626222615,254
ban,1748626233633,251
ban,1748626244622,264
ban,1748626255508,278
ban,1748626266511,280
ban,1748626277418,294
ban,1748626288365,299
ban,1748626299381,314
ban,1748626310424,321
ban,1748626321353,324
ban,1748626332354,331
ban,1748626343312,353
ban,1748626354283,352
ban,1748626365240,365
ban,1748626376219,380
ban,1748626387313,394
ban,1748626398511,400
ban,1748626409892,419
ban,1748626421642,416
ban,1748626433601,422
ban,1748626445190,431
ban,1748626456324,440
ban,1748626467462,455
ban,1748626478657,454
ban,1748626489799,471
ban,1748626500988,478
ban,1748626512173,475
ban,1748626523373,492
ban,1748626534532,503
ban,1748626545662,517
ban,1748626556842,517
ban,1748626568104,516
ban,1748626579334,536
ban,1748626590556,550
ban,1748626601758,556
ban,1748626612944,567
ban,1748626624149,569
ban,1748626635447,572
ban,1748626646663,599
ban,1748626657863,592
ban,1748626669169,596
ban,1748626680379,609
ban,1748626691682,629
ban,1748626703204,639
ban,1748626714495,653
ban,1748626725971,663
ban,1748626737350,664
ban,1748626748705,673
ban,1748626760001,693
ban,1748626771425,697
ban,1748626782778,700
ban,1748626794163,712
ban,1748626805565,704
ban,1748626816941,728
ban,1748626828376,731
ban,1748626839786,705
ban,1748626851155,754
ban,1748626862642,756
ban,1748626874072,774
ban,1748626885550,778
ban,1748626897018,793
ban,1748626908595,775
ban,1748626920020,793
ban,1748626931560,816
ban,1748626943156,836
ban,1748626954680,818
ban,1748626966281,846
ban,1748626977826,851
ban,1748626989446,859
ban,1748627000947,861
ban,1748627012531,883
ban,1748627024067,914
ban,1748627035707,896
ban,1748627047282,906
ban,1748627058858,912
ban,1748627070503,923
ban,1748627082158,924
ban,1748627093832,933
ban,1748627105421,951
rep,1748627117658,963
rep,1748627129464,975
rep,1748627141218,980
rep,1748627152984,987
rep,1748627164802,993
rep,1748627176522,1008
rep,1748627188267,1013
rep,1748627200054,1035
rep,1748627211853,1027
rep,1748627223698,1048
rep,1748627235435,1049
rep,1748627247278,1059
rep,1748627259124,1058
rep,1748627270987,1060
rep,1748627282828,1083
rep,1748627294656,1088
rep,1748627306562,1092
rep,1748627318393,1111
rep,1748627330367,1099
rep,1748627342316,1124
rep,1748627354241,1139
rep,1748627366147,1155
rep,1748627378089,1166
rep,1748627389980,1152
rep,1748627401965,1183
rep,1748627413883,1173
rep,1748627426095,1175
rep,1748627438145,1190
rep,1748627450106,1204
rep,1748627462054,1213
rep,1748627474061,1227
rep,1748627486095,1229
rep,1748627498089,1243
rep,1748627510114,1249
rep,1748627522113,1258
rep,1748627534124,1267
rep,1748627546173,1270
rep,1748627558250,1294
rep,1748627570277,1286
rep,1748627582370,1298
rep,1748627594483,1316
rep,1748627606513,1326
rep,1748627618615,1317
rep,1748627630710,1340
rep,1748627642828,1346
rep,1748627655017,1356
rep,1748627667165,1395
rep,1748627679403,1376
rep,1748627691524,1378
rep,1748627703757,1400
rep,1748627715884,1392
rep,1748627728109,1405
rep,1748627740313,1401
rep,1748627752550,1422
rep,1748627764722,1430
rep,1748627776975,1450
rep,1748627789240,2179
rep,1748627802145,1450
rep,1748627814331,1453
rep,1748627826550,1473
rep,1748627838753,1498
rep,1748627850979,1485
rep,1748627863268,1533
rep,1748627875577,1518
rep,1748627887849,1532
rep,1748627900134,1533
rep,1748627912465,1547
rep,1748627924776,1547
rep,1748627937100,1562
rep,1748627949476,1569
rep,1748627961802,1582
rep,1748627974153,1588
rep,1748627986500,1585
rep,1748627998944,1609
rep,1748628011286,1570
rep,1748628023630,1614
rep,1748628036015,1639
rep,1748628048468,1639
rep,1748628060850,1662
rep,1748628073251,1649
rep,1748628085764,1680
rep,1748628098190,1674
rep,1748628110664,1698
rep,1748628123115,1702
rep,1748628135542,1697
rep,1748628148097,1714
rep,1748628160592,1713
rep,1748628173132,1752
rep,1748628185710,1762
rep,1748628198323,1739
rep,1748628211144,1768
rep,1748628223785,1819
rep,1748628236407,1765
rep,1748628248983,1795
rep,1748628261567,1773
rep,1748628274082,1811
rep,1748628286663,1775
rep,1748628299236,1806
rep,1748628311831,1809
rep,1748628324436,1840
