type,start_ms,duration_ms
rep,1748650566364,32
rep,1748650577263,34
rep,1748650588106,33
rep,1748650598968,35
rep,1748650609861,31
rep,1748650620739,35
rep,1748650631620,32
rep,1748650642574,38
rep,1748650653564,33
rep,1748650664483,36
rep,1748650675391,35
rep,1748650686328,36
rep,1748650697280,38
rep,1748650708241,38
rep,1748650719234,35
rep,1748650730254,32
rep,1748650741265,33
rep,1748650752274,32
rep,1748650763370,34
rep,1748650774466,31
rep,1748650785429,33
rep,1748650796416,33
rep,1748650807359,30
rep,1748650818410,34
rep,1748650829449,32
rep,1748650840543,34
rep,1748650851646,35
rep,1748650862663,29
rep,1748650873768,34
rep,1748650884881,31
rep,1748650896017,34
rep,1748650907153,32
rep,1748650918350,37
rep,1748650929531,31
rep,1748650940639,33
rep,1748650951840,32
rep,1748650963020,32
rep,1748650974170,28
rep,1748650985270,36
rep,1748650996587,33
rep,1748651007915,31
rep,1748651019127,29
rep,1748651030387,33
rep,1748651041566,31
rep,1748651052779,33
rep,1748651064074,30
rep,1748651075373,34
rep,1748651086650,33
rep,1748651097983,30
rep,1748651109240,32
rep,1748651120482,31
rep,1748651131728,35
rep,1748651143073,32
rep,1748651154441,29
rep,1748651165777,30
rep,1748651177127,30
rep,1748651188449,31
rep,1748651199870,29
rep,1748651211148,34
rep,1748651222519,37
rep,1748651233996,32
rep,1748651245392,29
rep,1748651256801,35
rep,1748651268268,29
rep,1748651279698,31
rep,1748651291110,29
rep,1748651302515,29
rep,1748651313981,28
rep,1748651325446,32
rep,1748651336913,32
rep,1748651348387,32
rep,1748651359863,27
rep,1748651371384,31
rep,1748651382974,28
rep,1748651394387,32
rep,1748651405905,32
rep,1748651417494,32
rep,1748651429029,35
rep,1748651440573,32
rep,1748651452183,16
rep,1748651463720,28
rep,1748651475327,33
rep,1748651487010,33
rep,1748651498595,27
rep,1748651510196,32
rep,1748651521841,32
rep,1748651533437,32
rep,1748651545067,35
rep,1748651556763,31
rep,1748651568471,34
rep,1748651580091,34
rep,1748651591750,29
rep,1748651603411,33
rep,1748651615145,32
rep,1748651626890,31
rep,1748651638562,27
rep,1748651650346,29
rep,1748651662096,28
rep,1748651673794,33
rep,1748651685614,29
