type,start_ms,duration_ms
rep,1748650566361,81
rep,1748650577259,84
rep,1748650588101,100
rep,1748650598963,94
rep,1748650609857,98
rep,1748650620734,127
rep,1748650631614,120
rep,1748650642568,151
rep,1748650653558,146
rep,1748650664478,161
rep,1748650675385,164
rep,1748650686322,180
rep,1748650697275,188
rep,1748650708234,203
rep,1748650719230,192
rep,1748650730248,206
rep,1748650741260,220
rep,1748650752267,230
rep,1748650763363,238
rep,1748650774461,233
rep,1748650785424,245
rep,1748650796410,255
rep,1748650807354,257
rep,1748650818405,284
rep,1748650829443,293
rep,1748650840537,301
rep,1748650851639,315
rep,1748650862658,311
rep,1748650873761,331
rep,1748650884875,334
rep,1748650896012,346
rep,1748650907145,345
rep,1748650918343,365
rep,1748650929523,371
rep,1748650940633,380
rep,1748650951833,385
rep,1748650963012,393
rep,1748650974164,386
rep,1748650985264,422
rep,1748650996579,424
rep,1748651007909,429
rep,1748651019121,435
rep,1748651030379,449
rep,1748651041559,449
rep,1748651052771,466
rep,1748651064067,462
rep,1748651075365,485
rep,1748651086642,492
rep,1748651097975,498
rep,1748651109234,505
rep,1748651120475,511
rep,1748651131721,528
rep,1748651143067,538
rep,1748651154433,544
rep,1748651165770,550
rep,1748651177122,556
rep,1748651188439,569
rep,1748651199864,568
rep,1748651211140,592
rep,1748651222512,603
rep,1748651233987,606
rep,1748651245385,600
rep,1748651256792,623
rep,1748651268260,617
rep,1748651279691,643
rep,1748651291102,648
rep,1748651302506,657
rep,1748651313974,654
rep,1748651325437,673
rep,1748651336905,681
rep,1748651348378,702
rep,1748651359856,686
rep,1748651371377,709
rep,1748651382967,706
rep,1748651394379,719
rep,1748651405895,738
rep,1748651417485,753
rep,1748651429020,758
rep,1748651440564,764
rep,1748651452177,745
rep,1748651463711,791
rep,1748651475319,801
rep,1748651487002,797
rep,1748651498587,794
rep,1748651510187,814
rep,1748651521833,822
rep,1748651533429,829
rep,1748651545058,843
rep,1748651556753,850
rep,1748651568462,850
rep,1748651580081,873
rep,1748651591742,870
rep,1748651603401,879
rep,1748651615136,893
rep,1748651626880,899
rep,1748651638556,905
rep,1748651650338,917
rep,1748651662087,922
rep,1748651673786,937
rep,1748651685608,927
