type,start,end,duration_ms
proof_gen,2025-05-22T17:43:13.848094+00:00,2025-05-22T17:43:15.507701+00:00,1659
proof_gen,2025-05-22T17:43:16.587426+00:00,2025-05-22T17:43:18.179143+00:00,1591
proof_gen,2025-05-22T17:43:19.201893+00:00,2025-05-22T17:43:20.799148+00:00,1597
proof_gen,2025-05-22T17:43:21.851628+00:00,2025-05-22T17:43:23.469415+00:00,1617
proof_gen,2025-05-22T17:43:24.457447+00:00,2025-05-22T17:43:26.084548+00:00,1627
proof_gen,2025-05-22T17:43:27.128406+00:00,2025-05-22T17:43:28.769831+00:00,1641
proof_gen,2025-05-22T17:43:29.789766+00:00,2025-05-22T17:43:31.393657+00:00,1603
proof_gen,2025-05-22T17:43:32.464240+00:00,2025-05-22T17:43:34.103227+00:00,1638
proof_gen,2025-05-22T17:43:35.146283+00:00,2025-05-22T17:43:36.759216+00:00,1612
proof_gen,2025-05-22T17:43:37.844606+00:00,2025-05-22T17:43:39.473807+00:00,1629
proof_verify,2025-05-22T17:43:15.529554+00:00,2025-05-22T17:43:15.656415+00:00,126
proof_verify,2025-05-22T17:43:18.199491+00:00,2025-05-22T17:43:18.327615+00:00,128
proof_verify,2025-05-22T17:43:20.818817+00:00,2025-05-22T17:43:20.944955+00:00,126
proof_verify,2025-05-22T17:43:23.489874+00:00,2025-05-22T17:43:23.618881+00:00,129
proof_verify,2025-05-22T17:43:26.104656+00:00,2025-05-22T17:43:26.235061+00:00,130
proof_verify,2025-05-22T17:43:28.790636+00:00,2025-05-22T17:43:28.908791+00:00,118
proof_verify,2025-05-22T17:43:31.413643+00:00,2025-05-22T17:43:31.544108+00:00,130
proof_verify,2025-05-22T17:43:34.117950+00:00,2025-05-22T17:43:34.242803+00:00,124
proof_verify,2025-05-22T17:43:36.780524+00:00,2025-05-22T17:43:36.911215+00:00,130
proof_verify,2025-05-22T17:43:39.491419+00:00,2025-05-22T17:43:39.605366+00:00,113
latency,2025-05-22T17:43:15.508542+00:00,2025-05-22T17:43:15.775580+00:00,267
latency,2025-05-22T17:43:18.180357+00:00,2025-05-22T17:43:18.418960+00:00,238
latency,2025-05-22T17:43:20.800020+00:00,2025-05-22T17:43:21.043596+00:00,243
latency,2025-05-22T17:43:23.470170+00:00,2025-05-22T17:43:23.706359+00:00,236
latency,2025-05-22T17:43:26.085382+00:00,2025-05-22T17:43:26.327394+00:00,242
latency,2025-05-22T17:43:28.770852+00:00,2025-05-22T17:43:29.008345+00:00,237
latency,2025-05-22T17:43:31.394639+00:00,2025-05-22T17:43:31.638271+00:00,243
latency,2025-05-22T17:43:34.104135+00:00,2025-05-22T17:43:34.351824+00:00,247
latency,2025-05-22T17:43:36.760073+00:00,2025-05-22T17:43:37.020137+00:00,260
latency,2025-05-22T17:43:39.474691+00:00,2025-05-22T17:43:39.708236+00:00,233
